Wavelength(Microns),Refractive Index,Extinction Coefficient,
0.10633,1.57181852653,0.458970056056,
0.10798,1.57790593223,0.437807456335,
0.10965,1.57778864709,0.420229148455,
0.11134,1.57700974863,0.409275118816,
0.11307,1.57939228809,0.402908035067,
0.11481,1.58402895483,0.398648378601,
0.11659,1.59218892531,0.392106647826,
0.1184,1.6012006523,0.384053741243,
0.12023,1.61033117634,0.372832928161,
0.12209,1.6170341749,0.359425973737,
0.12398,1.62032104035,0.344821165856,
0.12589,1.61770198682,0.330997423313,
0.12784,1.61050561901,0.32441922135,
0.12982,1.61060662038,0.328336059716,
0.13183,1.61916634146,0.326406088856,
0.13386,1.62560029425,0.316888860753,
0.13594,1.62216233906,0.308342895287,
0.13804,1.61277707623,0.310851754313,
0.14017,1.61645598363,0.334806201851,
0.14234,1.65211617807,0.357538700456,
0.14454,1.7039947504,0.350894611191,
0.14678,1.74400605232,0.314529069307,
0.14905,1.75924811292,0.265840546852,
0.15136,1.75674127425,0.221793417752,
0.1537,1.74617596643,0.185162022827,
0.15608,1.73272994399,0.160041919688,
0.15849,1.71894245871,0.145084302525,
0.16094,1.70465870902,0.135735607598,
0.16343,1.69429103111,0.125564483035,
0.16596,1.6851520017,0.116587523642,
0.16853,1.67673216282,0.108516448772,
0.17113,1.66900240689,0.101420320232,
0.17378,1.66228924652,0.0950261394738,
0.17647,1.65563454376,0.0889306728157,
0.1792,1.64923223545,0.0832035694085,
0.18197,1.64302996107,0.0776323828053,
0.18478,1.63687462757,0.0722952991304,
0.18764,1.63088130967,0.0673390539565,
0.19055,1.62484750092,0.0627195440037,
0.19349,1.61925811601,0.05917570564,
0.19649,1.61354707818,0.0558851998685,
0.19953,1.60815827452,0.0530576768281,
0.20261,1.60338895025,0.0504251797065,
0.20575,1.59894176182,0.0479579094972,
0.20893,1.59480532469,0.0461548644056,
0.21216,1.59074795366,0.0446559230666,
0.21544,1.58678870284,0.0432131229752,
0.21878,1.58278644619,0.0419572562975,
0.22216,1.578836574,0.0409030812385,
0.2256,1.57504430777,0.0401449862566,
0.22909,1.57129802147,0.0399230924227,
0.23263,1.56793716696,0.0399543595507,
0.23623,1.56492991065,0.040069535017,
0.23988,1.56214124257,0.040300289016,
0.24359,1.55987983812,0.0407217455997,
0.24736,1.55778128612,0.0410830582498,
0.25119,1.55586256812,0.0413582755621,
0.25507,1.55410413529,0.0415536376982,
0.25902,1.55245493093,0.0417360620399,
0.26303,1.55091902158,0.0419283346697,
0.2671,1.54950746759,0.0421222765172,
0.27123,1.54814899575,0.0423182954195,
0.27542,1.54689328287,0.0425165906455,
0.27968,1.54572748212,0.0427137264372,
0.28401,1.54465629641,0.0429147626633,
0.2884,1.54372924344,0.0431197665414,
0.29286,1.54282627218,0.0433234120768,
0.29739,1.54195198673,0.0435346694314,
0.302,1.54114911854,0.0437452067604,
0.30667,1.54040479815,0.0439620162069,
0.31141,1.5397264661,0.0441777207656,
0.31623,1.53911316735,0.044397434765,
0.32112,1.53859380672,0.0446192319062,
0.32609,1.53811203199,0.0448433861579,
0.33113,1.53768754197,0.04507399781,
0.33625,1.53729203754,0.0453064275991,
0.34146,1.53692497357,0.045541427245,
0.34674,1.53658919877,0.0457781420625,
0.3521,1.53629078671,0.0460212415864,
0.35755,1.53602957019,0.0462608902659,
0.36308,1.53583165706,0.0465058800945,
0.36869,1.53564957674,0.0467574507205,
0.3744,1.53550280513,0.0470151457367,
0.38019,1.5354017901,0.0472732377129,
0.38607,1.53531743677,0.0475399660481,
0.39204,1.53529050577,0.0478061997448,
0.39811,1.53526556001,0.04807661334,
0.40427,1.53531345748,0.0483514355428,
0.41052,1.5353495478,0.0485956193595,
0.41687,1.53522535605,0.0484921280025,
0.42332,1.53507183433,0.0483867229986,
0.42987,1.5350010959,0.0482807620036,
0.43652,1.53487114828,0.0481724935615,
0.44327,1.53474899548,0.0480626889252,
0.45013,1.53472338403,0.0479554635403,
0.45709,1.53470032904,0.0478452068646,
0.46416,1.5346827951,0.0477316353029,
0.47134,1.53470204621,0.0476167261236,
0.47863,1.53470741437,0.047499999622,
0.48603,1.53476874122,0.0473867530315,
0.49355,1.53486435843,0.0472673109184,
0.50119,1.53494816074,0.0471458610363,
0.50894,1.53506948801,0.0470230363759,
0.51681,1.53517906072,0.0469013267567,
0.52481,1.53532509645,0.0467764179608,
0.53293,1.5354771684,0.0466480260311,
0.54117,1.53563440384,0.0465209143183,
0.54954,1.53579481095,0.0463903009742,
0.55804,1.53597874907,0.0462561833878,
0.56667,1.53618377304,0.0461233602757,
0.57544,1.53640815884,0.0459870379503,
0.58434,1.53660844571,0.0458483191101,
0.59338,1.53686161524,0.0457094863872,
0.60256,1.53712047827,0.0455653224409,
0.61188,1.53738404106,0.0454237897259,
0.62135,1.53765447382,0.0452783316179,
0.63096,1.53793145694,0.0451290751577,
0.64072,1.53821390389,0.0449807146113,
0.65063,1.53853364445,0.0448255988649,
0.66069,1.53884431358,0.0446727542414,
