Wavelength(Microns),Extinction Coefficient,Refractive Index,
0.10633,0.102997155584,1.05673716261,
0.10798,0.0995007932594,1.06098999142,
0.10965,0.0957406006433,1.06334669269,
0.11134,0.0932724533716,1.06458279505,
0.11307,0.0922129359372,1.06587839039,
0.11481,0.0919055051615,1.06740034679,
0.11659,0.0915330813821,1.07003639555,
0.1184,0.0908947547533,1.07310611627,
0.12023,0.0894705724872,1.07666422394,
0.12209,0.0871151653846,1.07994406625,
0.12398,0.0839361518646,1.08250835297,
0.12589,0.0801757561443,1.08341876923,
0.12784,0.0777365970957,1.08226150504,
0.12982,0.0787950141683,1.08175364695,
0.13183,0.0793516108817,1.08405593386,
0.13386,0.0777008844789,1.08671679176,
0.13594,0.0751563077559,1.08668363433,
0.13804,0.074845658751,1.08389168888,
0.14017,0.0813997223879,1.08200132506,
0.14234,0.0918278325135,1.08804225041,
0.14454,0.0976617883296,1.1028586504,
0.14678,0.0930191400441,1.12013476149,
0.14905,0.0793876296638,1.13175757573,
0.15136,0.0641023186146,1.1358162325,
0.1537,0.0505379955713,1.13525367813,
0.15608,0.0410836134705,1.1321842242,
0.15849,0.035406092392,1.12820043295,
0.16094,0.031795991756,1.12378164148,
0.16343,0.0282215287416,1.12071394911,
0.16596,0.025181706057,1.11800047733,
0.16853,0.022533728267,1.1154913865,
0.17113,0.0202745931483,1.11317987118,
0.17378,0.0183077033155,1.11117417982,
0.17647,0.0164752829736,1.10918706708,
0.1792,0.0147966716838,1.10727803344,
0.18197,0.0132017113859,1.10543482915,
0.18478,0.0117081801752,1.10361105361,
0.18764,0.0103571922113,1.10184001748,
0.19055,0.00912970870272,1.10006450089,
0.19349,0.0082350378071,1.0984214448,
0.19649,0.00742863584368,1.09675406155,
0.19953,0.00676789450858,1.09518806766,
0.20261,0.00617470570466,1.09380558268,
0.20575,0.00563832434481,1.09252036622,
0.20893,0.00517056481112,1.09131781419,
0.21216,0.00471246338281,1.09013669175,
0.21544,0.0042750396559,1.08898815808,
0.21878,0.00389276385269,1.08783354417,
