Wavelength(Microns),Extinction Coefficient,Refractive Index,
0.10633,0.235599008151,1.27903739247,
0.10798,0.224917459304,1.28284502853,
0.10965,0.215877734672,1.28331979036,
0.11134,0.210225542446,1.28324008695,
0.11307,0.207021396662,1.28464632745,
0.11481,0.204961494774,1.2871500796,
0.11659,0.201820214638,1.29153039064,
0.1184,0.197913891102,1.29639148219,
0.12023,0.192363624405,1.30139618824,
0.12209,0.185607897565,1.30519589267,
0.12398,0.178139386008,1.3072463547,
0.12589,0.170935671596,1.30621110557,
0.12784,0.167378814299,1.30264182486,
0.12982,0.169402418256,1.30260705855,
0.13183,0.168596171203,1.30707020416,
0.13386,0.163816576373,1.31060348313,
0.13594,0.159325636312,1.30900646633,
0.13804,0.160425249993,1.30410625493,
0.14017,0.172875007131,1.30548118169,
0.14234,0.185488895089,1.32341563509,
0.14454,0.183262994447,1.35061415064,
0.14678,0.165073580192,1.37239090291,
0.14905,0.139755248278,1.38132194453,
0.15136,0.116546533234,1.38069287011,
0.1537,0.0971634225348,1.3756193291,
0.15608,0.0838398191275,1.36884487352,
0.15849,0.0758740774181,1.3617730647,
0.16094,0.0708596128592,1.35439290053,
0.16343,0.065465428732,1.34906892477,
0.16596,0.0607160721686,1.34437642942,
0.16853,0.0564536923231,1.34005214259,
0.17113,0.0527113591074,1.33608065528,
0.17378,0.0493468717809,1.33263345839,
0.17647,0.0461432952494,1.32921519486,
0.1792,0.0431373162639,1.32592630187,
0.18197,0.0402178681268,1.32274080082,
0.18478,0.0374243035433,1.31957899563,
0.18764,0.0348326894128,1.31649995442,
0.19055,0.032418809778,1.31339935504,
0.19349,0.0305658018458,1.31052520938,
0.19649,0.0288456804239,1.30758855864,
0.19953,0.0273678877421,1.30481793674,
0.20261,0.0259945982955,1.30236735796,
0.20575,0.0247090458925,1.30008324471,
0.20893,0.0237678592085,1.29795807049,
0.21216,0.0229843814958,1.29587360706,
0.21544,0.0222308438452,1.29384037037,
0.21878,0.0215740494924,1.29178538559,
0.22216,0.0210216990395,1.28975771607,
0.2256,0.0206223836713,1.28781117276,
0.22909,0.020498872517,1.28588776223,
0.23263,0.0205063817434,1.28416241421,
0.23623,0.0205578331029,1.28261898027,
0.23988,0.0206690814,1.28118793173,
0.24359,0.0208793871785,1.28002721487,
0.24736,0.0210591717413,1.27895044573,
0.25119,0.0211952150859,1.27796633312,
0.25507,0.021290703155,1.27706478273,
0.25902,0.0213798117282,1.27621941285,
0.26303,0.0214742289276,1.27543221169,
0.2671,0.0215697968436,1.27470883104,
0.27123,0.0216665373797,1.27401274599,
0.27542,0.0217646871901,1.27336937138,
0.27968,0.0218624561054,1.27277211648,
0.28401,0.0219624495842,1.27222335438,
0.2884,0.0220648392004,1.27174840325,
0.29286,0.0221665764967,1.27128582905,
0.29739,0.0222722641807,1.27083795845,
0.302,0.0223777578724,1.27042666769,
0.30667,0.0224866010795,1.27004534401,
0.31141,0.0225950429836,1.26969780476,
0.31623,0.0227056990764,1.26938353874,
0.32112,0.0228176675868,1.26911732455,
0.32609,0.0229309331533,1.26887033694,
0.33113,0.0230476494672,1.26865263291,
0.33625,0.0231653657713,1.26844975183,
0.34146,0.0232844659261,1.26826141056,
0.34674,0.0234045222302,1.26808906583,
0.3521,0.0235279406717,1.26793580696,
0.35755,0.0236496941051,1.26780157467,
0.36308,0.0237743550598,1.26769968759,
0.36869,0.0239024203637,1.26760587338,
0.3744,0.0240337147857,1.26753008798,
0.38019,0.0241653432535,1.26747768766,
0.38607,0.0243014326695,1.26743377477,
0.39204,0.0244374388818,1.26741921099,
0.39811,0.0245755866577,1.26740564494,
0.40427,0.0247162083548,1.26742929497,
0.41052,0.0248411344774,1.26744699867,
0.41687,0.0247878554991,1.26738383343,
0.42332,0.0247335107976,1.26730568252,
0.42987,0.0246791351899,1.26726984734,
0.43652,0.0246234018418,1.26720375515,
0.44327,0.0245669086424,1.26714165198,
0.45013,0.0245120263756,1.26712888498,
0.45709,0.0244556027815,1.26711743306,
0.46416,0.0243975017608,1.26710881224,
0.47134,0.02433882737,1.26711899608,
0.47863,0.0242791823726,1.2671220887,
0.48603,0.0242214825657,1.26715377175,
0.49355,0.024160717034,1.26720299941,
0.50119,0.0240988888056,1.26724619372,
0.50894,0.024036467479,1.26730857216,
0.51681,0.0239745795732,1.26736493901,
0.52481,0.0239111619092,1.26743995345,
0.53293,0.0238459791848,1.26751806405,
0.54117,0.0237814635242,1.26759881083,
0.54954,0.0237151646092,1.26768118975,
0.55804,0.02364714013,1.2677756085,
0.56667,0.0235798354604,1.26788080393,
0.57544,0.0235107944853,1.26799590938,
0.58434,0.0234404550052,1.26809870345,
0.59338,0.0233702058525,1.26822853578,
0.60256,0.0232972429281,1.26836129724,
0.61188,0.0232256341031,1.26849645714,
0.62135,0.0231520331207,1.2686351441,
0.63096,0.0230765036461,1.2687771946,
0.64072,0.0230014426044,1.26892204,
0.65063,0.0229230272086,1.26908597876,
0.66069,0.0228457415526,1.26924527722,
0.67091,0.02276838631,1.26943215833,
0.68129,0.02268998614,1.26963880474,
0.69183,0.0226102495373,1.26984059634,
0.70253,0.022529123017,1.27003774024,
0.7134,0.0224466685191,1.27023847154,
0.72444,0.0223628877305,1.27044279007,
0.73564,0.0222778411799,1.27065060193,
0.74702,0.0221913969368,1.27086217977,
0.75858,0.022105994263,1.27107749053,
0.77031,0.0220171629165,1.27132084904,
0.78223,0.0219265513195,1.27154363748,
0.79433,0.0218345166191,1.27177045181,
0.80662,0.0217413086071,1.27202560396,
