WAV,K,N,
1.4454,0.00018244,1.29278,
1.4678,0.0003683,1.29218727273,
1.4905,0.0005408875,1.29184166667,
1.5136,0.000517227272727,1.29142545455,
1.537,0.000462254545455,1.29092727273,
1.5608,0.0003922768,1.2903528,
1.5849,0.00031708875,1.2897525,
1.6094,0.000272075384615,1.28909692308,
1.6343,0.000248744864865,1.28836675676,
1.6596,0.00022602,1.287612,
1.6853,0.0002000685,1.2868145,
1.7113,0.000179025,1.28592333333,
1.7378,0.000161672,1.28504,
1.7647,0.00015089575,1.28412375,
1.792,0.00014332,1.2831,
1.8197,0.000133942333333,1.282012,
1.8478,0.000133262,1.280788,
1.8764,0.000193088,1.279412,
1.9055,0.000416375,1.277975,
1.9349,0.000957778947368,1.27653631579,
1.9649,0.00147730526316,1.27547684211,
1.9953,0.00163389,1.274541,
2.0261,0.00153462857143,1.27336761905,
2.0575,0.00130792857143,1.27201428571,
2.0893,0.000947285454545,1.27032772727,
2.1216,0.0006038216,1.2682712,
2.1544,0.00038512,1.26597,
2.1878,0.000276508,1.263465,
2.2216,0.000221272,1.260756,
2.256,0.00020608,1.25766,
2.2909,0.0002565,1.25441,
2.3263,0.00037248,1.2507885,
2.3623,0.000495754,1.2467855,
2.3988,0.000575944,1.242356,
2.4359,0.000636933,1.237315,
2.4736,0.00070614,1.231422,
2.5119,0.0007622225,1.224739,
2.5507,0.000763888,1.21674133333,
2.5902,0.000743912,1.207044,
2.6303,0.000910978727273,1.19442345455,
2.671,0.00132619272727,1.17910545455,
2.7123,0.002964186,1.1575326,
2.7542,0.00899098867925,1.12734,
2.7968,0.0226141538462,1.08776461538,
2.8401,0.0533303125,1.035670625,
2.884,0.125588235294,0.972535294118,
2.9286,0.262555555556,0.964377777778,
2.9739,0.362716666667,1.00850333333,
3.0199,0.489638888889,1.07017111111,
3.0667,0.617952631579,1.26045894737,
3.1141,0.541557894737,1.48994631579,
3.1623,0.41391,1.610359,
3.2112,0.24978,1.641868,
3.2609,0.151440909091,1.60720136364,
3.3113,0.0930354545455,1.56343863636,
3.3625,0.0559181818182,1.52727045455,
3.4146,0.0347875652174,1.49405130435,
3.4674,0.0221565,1.46773166667,
3.521,0.014612,1.445832,
3.5755,0.0104993692308,1.42818,
3.6308,0.00805319259259,1.41320222222,
3.6869,0.00728753148148,1.40167055556,
3.744,0.00675404651163,1.39033488372,
3.8019,0.00744496944444,1.38126388889,
3.8607,0.00857051147541,1.37357385246,
3.9204,0.00997590819672,1.36735918033,
3.9811,0.0114541461538,1.36139715385,
4.0427,0.0131552538462,1.35680084615,
4.1052,0.0148853714286,1.35225014286,
4.1687,0.0166815142857,1.34866692857,
4.2332,0.0185059428571,1.34502728571,
4.2987,0.0216495229358,1.34245440367,
4.3652,0.0251905128205,1.34037948718,
4.4327,0.0292378596491,1.34098192982,
4.5012,0.0316722622951,1.34420065574,
4.5709,0.0293942,1.3486905,
4.6416,0.0246509496403,1.34816935252,
4.7134,0.0197799136691,1.34708460432,
4.7863,0.0172427621622,1.34368956757,
4.8603,0.0148707621622,1.34004956757,
4.9355,0.01311890625,1.336128125,
5.0119,0.0123762,1.3318217,
5.0894,0.0122212,1.3274042,
5.1681,0.01275842,1.3229864,
5.2481,0.0136155238095,1.31845142857,
5.3293,0.0152663430657,1.3139220438,
5.4117,0.01724175,1.3093475,
5.4954,0.0201873461538,1.30467961538,
5.5804,0.0239013670886,1.30006455696,
5.6667,0.0294944810127,1.29569493671,
5.7544,0.0361613939394,1.29145333333,
5.8434,0.0459253529412,1.29037294118,
5.9338,0.0544840335196,1.29439385475,
6.0256,0.061633150838,1.29952234637,
6.1188,0.0653351081081,1.30681135135,
6.2135,0.0642347826087,1.31301,
6.3096,0.06216075,1.3172665,
6.4072,0.060357804878,1.31935219512,
6.5063,0.0588178,1.32080129412,
6.6069,0.0575463636364,1.32155852273,
6.7091,0.0569064444444,1.32236777778,
6.8129,0.0557938,1.32341907143,
6.9183,0.0538877862069,1.32422937931,
7.0253,0.0519175103448,1.32437696552,
7.134,0.0495969306931,1.32367128713,
7.2444,0.0484155339806,1.32291087379,
7.3564,0.0459505454545,1.32174436364,
7.4702,0.0443044247788,1.31989168142,
7.5858,0.042689637931,1.3180887931,
7.7031,0.04028975,1.31547625,
7.8223,0.039034192,1.31199512,
7.9433,0.0381609609375,1.30840804687,
8.0662,0.0375967272727,1.30466363636,
8.1909,0.0372566363636,1.30088484848,
8.3176,0.0370271764706,1.29688691176,
8.4463,0.0368164859155,1.29264992958,
8.577,0.0366638461538,1.28791538462,
8.7096,0.0365458369099,1.28291630901,
8.8444,0.0366036909871,1.27713090129,
8.9812,0.0367753333333,1.27092222222,
9.1201,0.0372037678571,1.26387178571,
9.2612,0.0379096754717,1.25595554717,
9.4045,0.0391912641509,1.24654641509,
9.5499,0.0406522,1.236517,
9.6976,0.0428888,1.224068,
9.8477,0.0457441122449,1.21008341837,
10.0,0.05008,1.1926,
10.155,0.06134075,1.1719075,
10.312,0.0752363636364,1.14977636364,
10.471,0.0972727272727,1.12363,
10.633,0.132345454545,1.09815,
10.798,0.1824,1.08534,
10.965,0.236153846154,1.08717307692,
11.134,0.285856,1.1062936,
11.307,0.328068,1.1350808,
11.481,0.35802962963,1.16827925926,
11.659,0.382222222222,1.20434703704,
11.84,0.402333333333,1.24208888889,
12.023,0.41433,1.281168,
12.209,0.422,1.321284,
12.398,0.422,1.360848,
12.589,0.416715625,1.398609375,
12.784,0.4051375,1.4345625,
12.982,0.389658823529,1.46702470588,
13.183,0.371294117647,1.49556,
13.387,0.347983333333,1.51852,
13.594,0.326157894737,1.53698526316,
13.804,0.303505263158,1.55335368421,
14.017,0.278626315789,1.56661842105,
14.234,0.252666666667,1.57552666667,
14.454,0.227257142857,1.57699238095,
14.678,0.201657142857,1.57629904762,
14.905,0.182931818182,1.57066022727,
15.136,0.165081818182,1.56409772727,
15.37,0.15252173913,1.55623913043,
15.608,0.14288,1.5487864,
15.849,0.135868,1.5424936,
16.094,0.129008,1.5362216,
16.343,0.125542307692,1.53112192308,
16.596,0.123528571429,1.52961142857,
16.853,0.118425,1.53018428571,
17.113,0.11094137931,1.53043137931,
17.378,0.102889361702,1.52792170213,
17.647,0.0948765957447,1.52328574468,
17.92,0.0867446808511,1.51858085106,
18.197,0.0788202857143,1.51365071429,
18.479,0.0758916206897,1.50705551724,
18.764,0.0730396153846,1.50068692308,
19.055,0.0740555555556,1.49599027778,
19.349,0.0756868421053,1.49465157895,
19.649,0.0742,1.49653,
19.953,0.0679641025641,1.49832282051,
20.261,0.0593609756098,1.4966902439,
20.575,0.0510714285714,1.49249642857,
20.893,0.0442748201439,1.48633122302,
21.216,0.0405568345324,1.47931352518,
21.544,0.036781294964,1.47218719424,
21.878,0.0329366906475,1.4649305036,
22.216,0.0290460431655,1.45758690647,
22.56,0.0276578947368,1.44953684211,
22.909,0.0271566666667,1.442008,
23.263,0.0271161818182,1.43481745455,
23.623,0.0273368,1.427786,
23.988,0.0279208,1.421216,
24.359,0.0285144,1.414538,
24.736,0.029274,1.407752,
25.119,0.030476,1.4009056,
25.507,0.032028,1.3940768,
25.902,0.033608,1.3871248,
26.303,0.0360302178988,1.38009455253,
26.71,0.0387572762646,1.37296809339,
27.123,0.041524536965,1.36573657588,
27.542,0.044332,1.3584,
27.968,0.0471863657588,1.35094085603,
28.401,0.0500876342412,1.34335914397,
28.84,0.0551011111111,1.33556666667,
29.286,0.0615121316872,1.32758271605,
29.74,0.0680381481481,1.31945555556,
30.199,0.074636037037,1.31123888889,
30.667,0.0813632962963,1.30286111111,
31.141,0.089094055794,1.2949151073,
31.623,0.0991581330472,1.28812987124,
32.112,0.109368369099,1.28124609442,
32.609,0.119745643777,1.27424969957,
33.113,0.130269077253,1.26715476395,
33.625,0.141649130435,1.2612526087,
34.146,0.153745391304,1.25622382609,
34.674,0.166182758621,1.25157844828,
35.21,0.179120689655,1.24765086207,
35.755,0.192307352941,1.24387426471,
36.308,0.205807058824,1.24086529412,
36.869,0.219502058824,1.23781279412,
37.44,0.233380645161,1.23518387097,
38.019,0.247435403226,1.23266241935,
38.607,0.261570220588,1.22970308824,
39.204,0.275836764706,1.22645470588,
39.811,0.290602402597,1.22171045455,
40.427,0.306082402597,1.21415045455,
41.052,0.321788571429,1.20648,
41.687,0.34780462963,1.19486518519,
42.332,0.375874074074,1.18244296296,
42.987,0.410445365854,1.16885719512,
43.652,0.4594008,1.1545184,
44.327,0.5278458,1.1509409,
45.013,0.612190326087,1.16640228261,
45.709,0.707202769231,1.20748615385,
46.416,0.795475,1.2985225,
47.134,0.838707076923,1.42900369231,
47.863,0.822221875,1.56280421875,
48.603,0.758283076923,1.66215653846,
49.355,0.685142,1.714644,
50.119,0.61313344,1.75152528,
50.894,0.56117744,1.76045328,
51.681,0.519669183673,1.76541829932,
52.481,0.488485510204,1.76645231293,
53.293,0.4648956,1.7681756,
54.117,0.448977432432,1.77745472973,
54.954,0.422937368421,1.79451342105,
55.804,0.382586666667,1.80509333333,
56.667,0.336916,1.7996055,
57.544,0.295222553191,1.77697021277,
58.434,0.265556179775,1.73916629213,
59.338,0.25836028169,1.69083661972,
60.256,0.2859496,1.6561104,
61.188,0.312864,1.6401704,
62.135,0.33761,1.6379008,
63.096,0.3599978125,1.6418096875,
64.072,0.37985258427,1.6512011236,
65.063,0.395468791209,1.66642351648,
66.069,0.406987525773,1.68502876289,
67.091,0.414179238095,1.70593828571,
68.129,0.4167,1.72799792857,
69.183,0.415767058824,1.75035568627,
70.253,0.410312156863,1.7723151634,
71.34,0.400406477733,1.79128137652,
72.444,0.388830121457,1.80938340081,
73.564,0.3749066,1.8250988,
74.702,0.3585763,1.8384134,
75.858,0.340798139535,1.84755348837,
77.031,0.326090673854,1.85265695418,
78.223,0.313367439353,1.85628757412,
79.433,0.300452075472,1.85997301887,
80.662,0.288493265993,1.86285905724,
81.909,0.277366835017,1.8650423569,
83.176,0.26627635468,1.86709280788,
84.463,0.256132512315,1.86829738916,
85.77,0.246381666667,1.86927055556,
87.096,0.23715,1.8698926,
88.444,0.228725,1.8698589,
89.812,0.220175,1.8698247,
