WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
0.91201,0.0308500188679,1.6734,
0.92612,0.0308765794393,1.6734,
0.94045,0.0309032407407,1.6734,
0.95499,0.0309199908257,1.6734,
0.96977,0.0309466126126,1.67343306306,
0.98477,0.0309732807018,1.6735,
1.0,0.031,1.6735,
1.0155,0.0310263636364,1.6735,
1.0312,0.0310605,1.6735,
1.0471,0.0310901666667,1.6735,
1.0633,0.0311166153846,1.6735,
1.0798,0.0311495,1.6735,
1.0965,0.0311811538462,1.6735,
1.1134,0.0312167692308,1.6735,
1.1307,0.0312433846154,1.6735,
1.1481,0.0312801538462,1.6734,
1.1659,0.0313105,1.6734,
1.1839,0.0313427142857,1.67333642857,
1.2023,0.0313806428571,1.67329785714,
1.2209,0.031417,1.6732,
1.2398,0.0314496,1.67313466667,
1.2589,0.0314997142857,1.6731,
1.2784,0.0315525714286,1.6731,
1.2982,0.031614,1.6731,
1.3183,0.0316909375,1.673098125,
1.3386,0.0317553333333,1.673,
1.3594,0.031829,1.672935,
1.3804,0.03190125,1.6729,
1.4017,0.0319667647059,1.6729,
1.4234,0.0320325,1.672835,
1.4454,0.0321011764706,1.6728,
1.4678,0.0321704705882,1.67276588235,
1.4905,0.0322438235294,1.6727,
1.5136,0.0323186666667,1.67260222222,
1.537,0.03239,1.67256666667,
1.5608,0.0324627777778,1.6725,
1.5849,0.0325197777778,1.67240055556,
1.6094,0.0325868421053,1.6724,
1.6343,0.0326523684211,1.67233526316,
1.6596,0.0327287368421,1.6723,
1.6853,0.0327998947368,1.67216684211,
1.7113,0.0328799,1.6720335,
1.7378,0.0329594,1.671901,
1.7647,0.03305345,1.6717665,
1.792,0.0331466666667,1.67156666667,
1.8197,0.0332488571429,1.67140142857,
1.8478,0.0333559047619,1.67116761905,
1.8764,0.0334689090909,1.67096909091,
1.9055,0.0335819565217,1.67069565217,
1.9349,0.0336982272727,1.67046863636,
1.9649,0.0338209545455,1.67026454545,
1.9953,0.033941173913,1.6699973913,
2.0261,0.034060375,1.6697325,
2.0575,0.0341873913043,1.66946521739,
2.0893,0.034311125,1.6691975,
2.1216,0.03443096,1.6689312,
2.1544,0.0345556,1.6686688,
2.1878,0.0346892,1.6684016,
2.2216,0.0348330769231,1.66813384615,
2.256,0.0349719230769,1.66780384615,
2.2909,0.0351195769231,1.66740115385,
2.3263,0.0352678888889,1.66699666667,
2.3623,0.0354145555556,1.66659666667,
2.3988,0.0355592142857,1.66610285714,
2.4359,0.0357049642857,1.66567285714,
2.4736,0.0358530714286,1.66520071429,
2.5119,0.0360095862069,1.66470137931,
2.5507,0.0361734827586,1.6642662069,
2.5902,0.0363408,1.66373066667,
2.6303,0.0365113548387,1.66309612903,
2.671,0.0366919354839,1.66253870968,
