WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
0.89812,0.0520098876404,1.42231026217,
0.91201,0.0518538202247,1.42267441948,
0.92612,0.0516952808989,1.42304434457,
0.94045,0.0515342696629,1.42342003745,
0.95499,0.0513708988764,1.42380123596,
0.96977,0.0512048314607,1.42418872659,
0.98477,0.0510362921348,1.42458198502,
1.0,0.0508651685393,1.42498127341,
1.0155,0.050691011236,1.42538764045,
1.0312,0.0505146067416,1.42579925094,
1.0471,0.0503359550562,1.42621610487,
1.0633,0.0501539325843,1.42664082397,
1.0798,0.0499569230769,1.42704307692,
1.0965,0.0497,1.4273,
1.1134,0.04944,1.42756,
1.1307,0.0491738461538,1.42782615385,
1.1481,0.0489061538462,1.42809384615,
1.1659,0.0486323076923,1.42836769231,
1.1839,0.0483553846154,1.42864461538,
1.2023,0.0480723076923,1.42892769231,
1.2209,0.0479097402597,1.42904512987,
1.2398,0.047787012987,1.42910649351,
1.2589,0.047662987013,1.42916850649,
1.2784,0.0475363636364,1.42923181818,
1.2982,0.0474077922078,1.4292961039,
1.3183,0.0472772727273,1.42936136364,
1.3386,0.0471454545455,1.42942727273,
1.3594,0.0470103896104,1.42949480519,
1.3804,0.046874025974,1.42956298701,
1.4017,0.0467357142857,1.42963214286,
1.4234,0.0465948051948,1.4297025974,
1.4454,0.0464519480519,1.42977402597,
1.4678,0.0463064935065,1.42984675325,
1.4905,0.0461590909091,1.42992045455,
1.5136,0.0460090909091,1.42999545455,
1.537,0.046,1.42987978142,
1.5608,0.046,1.42974972678,
1.5849,0.046,1.42961803279,
1.6094,0.046,1.42948415301,
1.6343,0.046,1.42934808743,
1.6596,0.046,1.42920983607,
1.6853,0.046,1.42906939891,
1.7113,0.0459348039216,1.42880441176,
1.7378,0.0458049019608,1.42841470588,
1.7647,0.0456730392157,1.42801911765,
1.792,0.0455392156863,1.42761764706,
1.8197,0.0454034313725,1.42721029412,
1.8478,0.0452656862745,1.42679705882,
1.8764,0.0451254901961,1.42637647059,
1.9055,0.045,1.4259375,
1.9349,0.045,1.4254125,
1.9649,0.045,1.42487678571,
1.9953,0.045,1.42433392857,
2.0261,0.04495,1.4235,
2.0575,0.0448202479339,1.42220247934,
2.0893,0.0446888429752,1.42088842975,
2.1216,0.0445553719008,1.41955371901,
2.1544,0.0444198347107,1.41819834711,
2.1878,0.0442818181818,1.41681818182,
2.2216,0.0441421487603,1.4154214876,
2.256,0.044,1.414,
2.2909,0.0437356060606,1.41162045455,
2.3263,0.0434674242424,1.40920681818,
2.3623,0.0431946969697,1.40675227273,
