WAV(Microns),K(Extinction Coefficient),N(Refractive Index),
0.10633,0.558471796303,1.24853634167,
0.10798,0.541565228168,1.26890731203,
0.10965,0.5231446159,1.28031947654,
0.11134,0.51090204767,1.28632872857,
0.11307,0.505640218805,1.29260127969,
0.11481,0.504205872777,1.30008168696,
0.11659,0.50266116613,1.31328790598,
0.1184,0.499969670394,1.32883580447,
0.12023,0.493628021873,1.3474245414,
0.12209,0.48254012185,1.36497641185,
0.12398,0.466955698666,1.37924961638,
0.12589,0.447510612953,1.38472178023,
0.12784,0.434183497094,1.37871847619,
0.12982,0.439262394961,1.37468248255,
0.13183,0.442387412905,1.38527417463,
0.13386,0.434155631507,1.39864604644,
0.13594,0.420350675772,1.39802056602,
0.13804,0.417831544934,1.38286248958,
0.14017,0.452395080088,1.37361896821,
0.14234,0.509568280997,1.40498462824,
0.14454,0.550462746705,1.48224489491,
0.14678,0.543294618384,1.5798482982,
0.14905,0.480774125809,1.65836131227,
0.15136,0.395584150944,1.69521239905,
0.1537,0.313665037916,1.70157500826,
0.15608,0.253762428963,1.68666164279,
0.15849,0.2164640384,1.6615908214,
0.16094,0.191979680244,1.63151497419,
0.16343,0.169145442116,1.61134080991,
0.16596,0.150099595689,1.59417202508,
0.16853,0.133708180865,1.57861197479,
0.17113,0.119838583613,1.56441820216,
0.17378,0.107867687311,1.55213438358,
0.17647,0.0967809665196,1.5400314193,
0.1792,0.086681621418,1.52843450015,
0.18197,0.0771426769579,1.51727566994,
0.18478,0.0682516330773,1.50626004759,
0.18764,0.0602415632141,1.49558260888,
0.19055,0.052988411988,1.48490301676,
0.19349,0.047703934542,1.47501177407,
0.19649,0.0429526851356,1.46500577852,
0.19953,0.0390666829133,1.45561354962,
0.20261,0.0355915378988,1.44730721825,
0.20575,0.0324581144467,1.43958774893,
0.20893,0.0297179349466,1.43165615147,
0.21216,0.0270374572483,1.42343386824,
0.21544,0.0244874470402,1.41540768575,
0.21878,0.0222625494582,1.40732553185,
0.22216,0.0203793057083,1.39934673195,
0.2256,0.0189702539667,1.39161772889,
0.22909,0.0183852353634,1.38397198364,
0.23263,0.0181831344789,1.37691410562,
0.23623,0.0181042444484,1.37037825138,
0.23988,0.0181938953288,1.36416040002,
0.24359,0.0185586392493,1.35870147706,
0.24736,0.0188288240697,1.35345642059,
0.25119,0.0189683197283,1.34846746476,
0.25507,0.0189887823122,1.34373551997,
0.25902,0.0189866146771,1.33912495491,
0.26303,0.01899554195,1.33464485086,
0.2671,0.0190037111082,1.33030872934,
0.27123,0.0190117757975,1.32601227865,
0.27542,0.0190199886268,1.32182497913,
0.27968,0.0190228242025,1.31772087221,
0.28401,0.0190275010279,1.31370484737,
0.2884,0.0190346741268,1.3098509649,
0.29286,0.0190363290092,1.30598186928,
0.29739,0.0190451521905,1.30210311846,
0.302,0.0190487577293,1.29828378762,
0.30667,0.0190582890597,1.29452196549,
0.31141,0.0190626697507,1.29080041104,
0.31623,0.0190684493369,1.28711067132,
0.32112,0.019073490306,1.28349765409,
0.32609,0.0190777007376,1.27987563586,
0.33113,0.0190873588106,1.27627693682,
0.33625,0.019095485727,1.27265521952,
0.34146,0.0191025454572,1.26900271724,
0.34674,0.0191086022008,1.26533448417,
0.3521,0.0191195052847,1.26165933445,
0.35755,0.0191210866827,1.25797449093,
0.36308,0.019125987944,1.25430967157,
0.36869,0.0191361227672,1.25059850212,
0.3744,0.0191495920321,1.24685448447,
0.38019,0.0191596880413,1.24310334851,
0.38607,0.019177301683,1.23929801025,
0.39204,0.0191897053828,1.2354963417,
0.39811,0.0192030600225,1.23161802016,
0.40427,0.0192178819691,1.22775990506,
0.41052,0.0192291601951,1.22393790273,
0.41687,0.0192359863659,1.22129911926,
0.42332,0.0192429271291,1.21856322588,
0.42987,0.0192511416406,1.21588224753,
0.43652,0.019259161684,1.21305896353,
0.44327,0.0192676317039,1.21018570602,
0.45013,0.0192818709568,1.20737847458,
0.45709,0.0192946040764,1.20450926749,
0.46416,0.0193056862029,1.20157652281,
0.47134,0.0193176481971,1.19862216685,
