Number,      cntr_01,       dist_x,       pang_x,        ra_01,       dec_01,          designation,ra,dec,    sigra,   sigdec,  sigradec,  w1mpro, w1sigmpro,    w1snr,   w1rchi2,  w2mpro, w2sigmpro,    w2snr,   w2rchi2,  w3mpro, w3sigmpro,    w3snr,   w3rchi2,  w4mpro, w4sigmpro,    w4snr,   w4rchi2,   nb,   na,  w1sat,  w2sat,  w3sat,  w4sat,     pmra,  sigpmra,    pmdec, sigpmdec, cc_flags, ext_flg, var_flg, ph_qual, moon_lev,   w1nm,    w1m,   w2nm,    w2m,   w3nm,    w3m,   w4nm,    w4m
132,3.084201,164.483912,332.02387,48,J220805.81,475957,332.0242125,47.9991745,0.0973,0.095,-0.0178,15.417,0.035,30.7,1.16E+00,15.975,0.128,8.5,9.02E-01,12.778,null,-0.7,9.16E-01,9.313,null,-0.2,9.15E-01,1,0,0,0,0,0,493,318,-483,312,0hHD,0,0nnn,ABUU,0,34,34,4,34,0,19,0,19
136,8.069194,-55.395244,356.1435,55,J234433.66,550004.5,356.1402834,55.0012729,0.0369,0.036,0.0104,11.008,0.023,48.1,3.74E+01,11.085,0.02,55.1,1.93E+01,10.503,0.076,14.2,1.56E+00,9.1,null,1.1,1.10E+00,1,0,0,0,0,0,-182,27,-216,28,hh00,1,991n,AAAU,0,58,58,58,58,30,32,0,32
136,9.594391,-26.479744,356.1435,55,J234433.94,550008.5,356.1414281,55.0023855,0.3189,0.2521,0.088,11.953,0.153,7.1,3.33E+00,12.07,0.137,7.9,2.30E+00,12.089,0.384,2.8,9.79E-01,9.382,null,-1,1.00E+00,2,1,0.002,0,0,0,null,null,null,null,hH00,1,nnnn,BBCU,0,57,58,58,58,0,32,0,32
137,3.921053,108.505559,296.63337,-15,J194632.26,-150001.2,296.6344393,-15.0003457,0.2183,0.2292,-0.0619,16.284,0.074,14.6,1.14E+00,16.428,0.314,3.5,1.04E+00,12.396,null,-0.7,1.01E+00,8.754,null,-0.7,1.06E+00,1,0,0,0.002,0,0,103,871,820,912,0,0,0nnn,ABUU,4500,13,23,0,20,0,10,0,10
144,4.274216,42.725232,55.866177,-33,J034328.11,-325956.8,55.8671375,-32.9991278,0.3104,0.3247,-0.0927,17.367,0.106,10.3,1.09E+00,17.026,0.28,3.9,9.67E-01,13.23,null,-0.5,1.00E+00,9.463,null,0.4,9.41E-01,1,0,0.001,0,0,0,48,886,383,912,0,0,nnnn,ABUU,11,7,54,1,52,0,37,0,37
145,5.054456,-158.598018,56.731568,18,J034655.44,175955.2,56.7310293,17.9986928,0.2865,0.3069,-0.0902,16.806,0.105,10.3,1.03E+00,16.284,0.212,5.1,9.04E-01,12.403,null,-0.8,1.03E+00,8.425,null,1.1,1.01E+00,1,0,0.003,0,0,0,-696,1162,925,1242,0,0,0nnn,ABUU,0,10,27,0,27,0,13,0,13
150,7.506514,63.705607,66.660836,-28,J042639.10,-275956.6,66.6629532,-27.9990763,0.2285,0.2415,-0.0679,16.851,0.087,12.5,1.01E+00,16.084,0.15,7.2,1.04E+00,12.026,0.258,4.2,1.00E+00,9.072,null,-0.6,1.01E+00,1,0,0.019,0,0,0,368,928,742,979,0,0,nnnn,ABBU,0,10,32,2,32,0,14,0,14
151,5.252271,-48.930258,72.334446,30,J044919.96,300003.4,72.3331759,30.0009585,0.1399,0.1452,-0.0345,15.695,0.05,21.9,1.03E+00,16.033,0.206,5.3,9.17E-01,11.922,null,1.2,1.04E+00,8.69,null,-0.3,9.37E-01,1,0,0,0,0,0,-766,510,601,533,0,0,0nnn,ABUU,0,20,21,1,21,0,11,0,11
153,2.770395,-29.361606,80.801313,-31,J052312.20,-305957.5,80.8008728,-30.9993293,0.1485,0.1606,-0.0372,16.247,0.06,18.2,1.08E+00,15.504,0.089,12.2,9.30E-01,12.834,null,-0.2,1.07E+00,9.156,null,-0.1,1.07E+00,1,0,0,0,0,0,-218,523,170,570,0,0,1nnn,AAUU,0,27,32,8,32,0,16,0,16
160,8.252894,-139.367781,142.74948,-74,J093058.57,-740006.2,142.7440634,-74.0017397,0.0598,0.0599,0.007,14.788,0.027,40.9,9.48E-01,14.902,0.047,23,9.68E-01,13.237,null,0.8,1.01E+00,10.025,null,-0.3,9.76E-01,1,0,0,0,0,0,-298,124,-73,117,0,0,00nn,AAUU,0,86,86,71,86,3,82,0,82
162,9.985775,-119.922116,162.42498,-71,J104940.22,-710004.9,162.4175952,-71.0013835,0.1451,0.143,0.0423,16.072,0.052,21,9.63E-01,16.502,0.174,6.3,9.55E-01,13.362,null,-1.7,9.15E-01,9.737,null,-0.6,1.05E+00,1,0,0,0,0,0.001,355,449,-56,439,0,0,0nnn,ABUU,11,45,50,1,50,0,49,1,49
163,9.648894,44.412203,176.85227,-49,J114725.23,-485953.1,176.8551289,-48.9980854,0.5201,0.5519,0.1401,17.788,0.172,6.3,1.05E+00,17.645,null,-1,1.07E+00,12.81,null,0.3,1.04E+00,9.358,null,-0.1,9.35E-01,1,0,0,0,0,0,491,1654,-77,1765,0h00,0,nnnn,BUUU,0,2,41,1,41,0,28,0,28
167,7.046403,122.633601,199.37063,-42,J131729.48,-420003.7,199.3728481,-42.0010555,0.1431,0.1553,0.0279,16.211,0.053,20.4,1.27E+00,16.121,0.151,7.2,9.24E-01,12.531,null,1,8.83E-01,9.217,null,0,9.33E-01,1,0,0,0,0,0,-247,318,-399,352,0,0,1nnn,ABUU,0,30,47,4,46,0,28,0,28
176,8.96961,-157.024031,236.12593,3,J154429.98,25951.7,236.1249561,2.9977061,0.0523,0.0509,-0.0075,13.444,0.025,44,9.80E-01,13.48,0.034,32.1,8.82E-01,12.154,null,0.5,9.36E-01,8.533,null,1,9.17E-01,1,0,0,0,0,0,23,86,-50,91,0,0,11nn,AAUU,0,27,27,27,27,0,12,0,12
186,3.99102,-129.817441,292.66672,35,J193039.76,345957.4,292.6656805,34.9992901,0.0574,0.0561,-0.0054,14.08,0.026,42.3,1.17E+00,14.245,0.042,26,1.07E+00,12.837,null,-0.7,9.84E-01,8.827,null,0.7,1.12E+00,1,0,0,0,0,0,49,106,-129,107,0,0,11nn,AAUU,0,39,39,39,39,0,19,0,19
188,6.64176,-75.315199,299.6066,-14,J195825.14,-135958.3,299.6047607,-13.9995323,0.1073,0.1112,-0.0289,15.309,0.041,26.6,1.12E+00,15.423,0.132,8.2,1.04E+00,12.474,null,-0.4,9.53E-01,8.937,null,-1.4,9.65E-01,1,0,0,0,0,0,-78,329,-293,353,hh00,0,1nnn,ABUU,1100,24,24,5,24,0,10,0,10
190,6.014558,160.750187,357.33135,-27,J234919.67,-270005.6,357.3319682,-27.0015773,0.3074,0.3107,-0.0899,16.828,0.104,10.5,1.00E+00,16.672,0.338,3.2,8.42E-01,11.991,null,1.6,8.71E-01,8.899,null,0.3,1.03E+00,1,0,0,0.002,0,0,-73,1360,-83,1364,0,0,nnnn,ABUU,11,8,26,0,25,1,13,0,13
194,6.916909,-39.913144,312.70868,57,J205049.53,570005.3,312.7064164,57.0014737,0.0492,0.0479,0.007,13.511,0.025,43.1,1.21E+00,13.51,0.028,39,9.45E-01,12.432,null,1.4,8.91E-01,9.442,null,-0.3,9.37E-01,1,0,0,0,0,0,-105,68,64,65,0,0,21nn,AAUU,0,58,58,57,57,0,28,0,28
196,9.370643,-63.259907,213.62306,-18,J141428.94,-175955.7,213.6206158,-17.9988288,0.0445,0.0445,-0.0072,12.693,0.024,45.5,1.06E+00,12.764,0.026,41.4,1.16E+00,12.351,0.383,2.8,9.62E-01,9.133,null,0.3,9.70E-01,1,0,0,0,0,0,13,40,24,42,0,0,11nn,AACU,1100,33,33,33,33,0,22,0,23
198,8.696104,162.041215,101.97276,52,J064753.75,515951.7,101.9739697,51.9977021,0.4011,0.4408,-0.0542,17.673,0.156,6.9,1.01E+00,16.409,0.222,4.9,9.27E-01,12.255,null,0.5,9.27E-01,8.997,null,-1.3,9.20E-01,1,0,0,0,0,0,-1286,1670,-905,1825,0,0,nnnn,BBUU,22,3,44,2,45,0,12,0,13
202,5.170556,-127.891674,13.799541,-47,J005511.49,-470003.1,13.797879,-47.0008821,0.3704,0.3681,-0.1178,17.244,0.126,8.6,9.19E-01,16.834,0.316,3.4,9.41E-01,12.593,null,0.5,9.17E-01,9.282,null,-0.4,1.02E+00,1,0,0,0,0,0,-3719,1862,332,1818,0,0,nnnn,BBUU,0,5,30,1,30,0,15,0,15
203,7.378598,-78.787832,22.143166,42,J012833.71,420001.4,22.1404606,42.0003985,0.1891,0.1944,-0.0582,16.586,0.064,16.9,1.01E+00,17.497,null,0.2,8.96E-01,12.32,0.248,4.4,1.03E+00,8.749,null,1.5,9.13E-01,2,0,0,0,0,0,213,433,852,429,0,0,1nnn,AUBU,11,23,46,0,46,1,34,0,34
209,3.712997,-7.569601,143.7114,-12,J093450.70,-115956.3,143.7112611,-11.9989776,0.5439,0.6018,0.08,17.651,0.182,6,1.04E+00,17.096,null,0.4,7.86E-01,12.174,null,0.7,8.66E-01,8.666,null,0.6,1.00E+00,1,0,0,0,0,0,2481,2523,-939,2807,0,0,nnnn,BUUU,111,2,26,0,24,0,12,0,12
214,3.9044,-89.952387,298.0391,7,J195209.12,70000,298.0380073,7.0000009,0.1246,0.1299,-0.0288,15.638,0.045,24.4,1.51E+00,16.929,0.358,3,9.87E-01,12.577,null,-2.7,1.02E+00,9.119,null,-1.8,9.58E-01,1,0,0,0,0,0,862,416,-1224,440,hHh0,0,1nnn,ACUU,0,25,26,0,26,0,13,0,13
219,4.089636,44.012799,73.723869,10,J045453.92,100002.9,73.7246705,10.000817,0.0641,0.0635,-0.0113,14.064,0.029,37.3,8.32E-01,14.031,0.044,24.8,8.23E-01,11.931,null,1.6,9.43E-01,8.898,null,-1,1.03E+00,1,0,0,0,0,0,-82,132,-5,138,0,0,00nn,AAUU,1111,24,24,24,24,0,13,0,13
221,6.578089,-85.414886,196.64931,-46,J130635.20,-455959.4,196.646688,-45.9998539,0.6138,0.6675,0.141,17.997,0.207,5.2,1.15E+00,17.516,null,-1.3,9.28E-01,12.773,null,-0.8,9.29E-01,9.131,null,0.6,1.07E+00,1,0,0,0,0,0,1379,1681,-54,1831,0hHH,0,nnnn,BUUU,0,2,44,1,44,0,24,0,24
230,1.276614,-62.069806,266.97316,2,J174753.48,20000.5,266.9728465,2.0001661,0.1241,0.1321,-0.0362,15.508,0.046,23.8,2.30E+00,15.602,0.113,9.6,8.69E-01,12.595,null,-0.8,1.11E+00,8.636,null,0.8,1.10E+00,1,0,0,0,0,0,-663,386,-5,418,hh00,0,0nnn,ABUU,0,33,36,4,36,0,13,0,13
232,7.614929,-103.798901,291.73534,-29,J192655.91,-290001.8,291.7329913,-29.0005045,0.0833,0.0773,-0.0256,14.006,0.033,32.8,1.43E+00,14.064,0.052,20.8,1.02E+00,12.176,null,0.7,1.02E+00,8.545,null,0.2,8.48E-01,2,1,0,0,0,0,null,null,null,null,dd00,0,nnnn,AAUU,0,22,22,21,21,0,11,0,11
