Number,      cntr_01,       dist_x,       pang_x,        ra_01,       dec_01,          designation,ra,dec,    sigra,   sigdec,  sigradec,  w1mpro, w1sigmpro,    w1snr,   w1rchi2,  w2mpro, w2sigmpro,    w2snr,   w2rchi2,  w3mpro, w3sigmpro,    w3snr,   w3rchi2,  w4mpro, w4sigmpro,    w4snr,   w4rchi2,   nb,   na,  w1sat,  w2sat,  w3sat,  w4sat,     pmra,  sigpmra,    pmdec, sigpmdec, cc_flags, ext_flg, var_flg, ph_qual, moon_lev,   w1nm,    w1m,   w2nm,    w2m,   w3nm,    w3m,   w4nm,    w4m
296,9.750534,-122.239773,31.858846,-59,J020725.05,-590005.2,31.8543978,-59.0014448,0.2363,0.2269,-0.0659,16.985,0.078,13.9,9.27E-01,17.186,0.307,3.5,8.93E-01,12.916,null,-0.8,8.63E-01,9.458,null,-0.3,1.03E+00,1,0,0.001,0,0,0,-28,1016,48,969,0,0,nnnn,ABUU,0,10,50,2,50,0,23,0,23
300,8.255368,49.668868,58.430359,57,J035344.05,570005.3,58.4335688,57.0014841,0.0404,0.0375,0.0045,11.574,0.022,48.3,5.02E+00,11.609,0.022,49.6,2.18E+00,11.534,0.222,4.9,8.24E-01,9.076,null,0.3,8.43E-01,1,0,0,0,0,0,-42,40,102,38,0,1,00nn,AABU,33,52,52,52,52,0,16,0,17
302,5.869944,-116.247668,84.042898,-28,J053609.89,-280002.5,84.0412417,-28.0007211,0.4458,0.4801,-0.0972,17.388,0.145,7.5,9.54E-01,16.977,null,1,8.35E-01,12.784,null,0,9.68E-01,9.232,null,-0.1,1.10E+00,1,0,0,0,0,0,-1619,2023,-3805,2197,0,0,nnnn,BUUU,0,2,30,0,30,0,17,0,17
306,5.95699,137.600074,139.36487,-74,J091728.54,-740004.3,139.3689183,-74.0012219,0.3435,0.315,0.0684,17.606,0.113,9.6,9.35E-01,17.18,0.255,4.3,8.92E-01,13.251,null,0.9,9.97E-01,9.632,null,0.8,9.34E-01,1,0,0,0,0,0,-471,1491,234,1388,0,0,nnnn,BBUU,0,6,86,0,86,0,83,0,84
308,6.56761,-122.28158,159.84513,-64,J103921.98,-640003.5,159.8416115,-64.0009743,0.1009,0.1017,0.0194,15.224,0.04,27.1,1.47E+00,15.649,0.093,11.7,9.77E-01,11.976,null,1.4,7.28E-01,9.579,0.532,2,9.09E-01,1,0,0,0,0,0,415,139,-34,140,hh00,0,1nnn,AAUC,0,70,70,14,70,0,42,0,42
311,8.05391,70.951045,216.18298,-40,J142444.57,-395957.3,216.1857405,-39.9992698,0.1433,0.1549,0.0271,16.188,0.051,21.2,1.08E+00,16.798,null,1.3,9.49E-01,12.581,0.351,3.1,9.95E-01,9.388,null,0.1,1.02E+00,1,0,0,0,0,0,-662,551,-16,609,0,0,0nnn,AUBU,1344,28,39,0,29,1,25,0,28
311,8.465211,-42.188442,216.18298,-40,J142443.42,-395953.7,216.1809186,-39.9982577,0.0656,0.072,0.0058,14.693,0.029,38,1.15E+00,14.747,0.06,18.2,1.23E+00,12.99,null,0,9.66E-01,9.215,null,-0.1,9.69E-01,2,1,0,0,0,0,-410,154,-56,169,0,0,nnnn,AAUU,1344,38,38,20,28,0,24,0,27
313,4.828979,-67.663116,243.62035,-21,J161428.56,-205958.1,243.619021,-20.9994902,0.0654,0.0668,-0.0161,13.892,0.03,36.6,1.15E+00,13.933,0.046,23.7,1.06E+00,11.979,null,0.8,9.00E-01,8.596,null,0.2,8.81E-01,1,0,0,0,0,0,92,143,61,150,0,0,22nn,AAUU,0,21,21,20,21,0,9,0,9
318,4.390484,155.628322,67.209017,13,J042850.28,125956,67.2095335,12.9988891,0.2533,0.2649,-0.0648,16.461,0.087,12.5,9.18E-01,16.382,0.318,3.4,8.49E-01,12.01,null,1,9.93E-01,8.934,0.519,2.1,8.28E-01,1,0,0,0,0,0,-871,977,972,1022,0,0,1nnn,ABUC,3322,10,24,0,24,0,10,0,10
319,5.860784,-30.970507,85.362189,-33,J054126.68,-325954.9,85.3611901,-32.9986041,0.2324,0.2509,-0.0492,16.788,0.081,13.5,9.16E-01,17.197,0.364,3,9.50E-01,12.274,null,1.5,1.04E+00,9.26,null,-0.7,1.02E+00,1,0,0,0,0,0,1388,966,-1596,1043,0,0,nnnn,ACUU,0,14,38,1,37,0,20,0,20
320,7.519908,-36.76795,125.95209,53,J082348.00,530006,125.9500123,53.0016733,0.5171,0.5474,0.274,17.154,0.162,6.7,9.89E-01,16.879,null,0.5,9.07E-01,12.475,null,0.5,1.08E+00,8.751,null,0.6,9.59E-01,1,0,0,0,0,0,-3009,1960,-160,2168,0h00,0,nnnn,BUUU,0,3,29,0,29,0,15,0,15
320,8.01336,88.160364,125.95209,53,J082349.38,530000.2,125.9557868,53.0000714,0.4272,0.4783,0.0426,17.391,0.153,7.1,1.20E+00,16.874,0.372,2.9,1.02E+00,12.666,0.538,2,1.04E+00,8.477,null,1.1,8.77E-01,1,0,0,0,0,0,-13182,1654,-5669,1751,0h00,0,nnnn,BCCU,0,5,28,1,27,1,13,0,14
321,3.690552,130.025613,126.60502,-52,J082625.51,-520002.3,126.6062951,-52.0006593,0.0485,0.0499,-0.0097,13.872,0.024,44.6,2.54E+00,13.791,0.03,36.4,1.19E+00,12.076,null,1.7,9.87E-01,9.202,null,0.1,8.82E-01,1,0,0,0,0,0,121,80,113,86,0,0,00nn,AAUU,11,45,45,45,45,0,21,0,21
325,6.635743,0.965898,181.14054,66,J120433.74,660006.6,181.1406164,66.001843,0.3202,0.334,0.0985,17.252,0.107,10.1,8.16E-01,17.324,0.399,2.7,9.03E-01,12.542,null,0.6,1.01E+00,9.072,null,-1.6,9.41E-01,1,0,0,0,0,0,-326,1379,731,1436,0,0,nnnn,ACUU,0,5,38,0,38,0,19,0,19
326,2.755923,144.871287,230.13091,-28,J152031.53,-280002.2,230.1314089,-28.0006261,0.0509,0.0507,-0.0102,13.439,0.024,44.6,1.35E+00,13.51,0.034,31.7,1.12E+00,12.004,0.305,3.6,1.02E+00,8.641,null,0.7,1.15E+00,1,0,0,0,0,0,24,97,136,103,0,0,11nn,AABU,1100,23,23,23,23,0,12,0,12
328,4.862131,-125.606172,235.04815,-70,J154010.78,-700002.8,235.0449393,-70.0007863,0.1317,0.1408,0.0032,15.641,0.048,22.8,1.22E+00,16.622,0.284,3.8,9.63E-01,12.253,null,1.2,1.17E+00,9.044,null,0.2,1.11E+00,1,0,0,0,0,0,296,450,562,484,0h00,0,0nnn,ABUU,0,28,28,0,28,0,14,0,14
328,8.940344,-11.085121,235.04815,-70,J154011.22,-695951.2,235.0467541,-69.9975629,0.1484,0.161,0.0318,15.873,0.055,19.8,1.17E+00,16.457,0.243,4.5,8.55E-01,12.235,null,1.3,1.09E+00,9.037,null,0.1,1.09E+00,1,0,0,0,0,0,-552,543,-24,586,0,0,0nnn,ABUU,0,25,28,1,28,0,14,0,14
329,9.959914,-50.090932,237.23665,-3,J154856.28,-25953.6,237.2345249,-2.998225,0.4064,0.4505,-0.0449,17.105,0.138,7.8,7.66E-01,16.595,null,1.6,8.95E-01,12.261,null,0.6,9.05E-01,8.902,null,-0.2,1.14E+00,1,0,0.005,0,0,0,1192,1718,433,1905,0,0,nnnn,BUUU,100,3,24,0,23,0,11,0,11
335,7.508945,152.455727,309.45466,11,J203749.35,105953.3,309.4556426,10.9981506,0.0946,0.0977,-0.0223,15.483,0.037,29.4,1.15E+00,15.425,0.087,12.5,1.05E+00,12.778,null,-1.1,8.32E-01,9.225,null,-0.1,8.92E-01,1,0,0,0,0,0,-289,306,-370,328,0,0,0nnn,AAUU,22,36,36,11,36,0,18,0,18
337,8.726083,82.126792,264.52297,-54,J173806.49,-535958.8,264.5270549,-53.9996679,0.0656,0.0677,-0.0132,14.204,0.03,36.6,9.68E-01,14.426,0.048,22.8,8.97E-01,12.327,null,0.7,8.14E-01,9.175,null,-0.5,9.01E-01,1,0,0,0,0,0,-132,151,-39,162,hh00,0,00nn,AAUU,0,32,32,32,32,0,15,0,15
338,8.228057,-0.452838,173.86227,-32,J113526.93,-315951.7,173.8622487,-31.9977145,0.582,0.6437,0.1601,17.723,0.196,5.5,1.09E+00,16.997,null,1,8.72E-01,12.431,null,0.6,1.11E+00,8.837,null,-0.9,8.24E-01,1,0,0,0,0,0,-2729,2270,347,2551,0,0,nnnn,BUUU,0,2,29,0,29,1,13,0,13
338,9.735282,135.087857,173.86227,-32,J113527.48,-320006.8,173.8645214,-32.0019151,0.1355,0.1435,0.0339,15.905,0.052,21.1,9.70E-01,15.546,0.108,10,9.50E-01,12.134,null,0.8,8.41E-01,9.116,null,-1.9,8.83E-01,1,0,0,0,0,0,460,405,-89,434,0,0,0nnn,AAUU,0,27,29,6,29,0,13,0,13
341,9.643309,-127.79531,165.60188,-26,J110223.88,-260005.9,165.5995249,-26.0016416,0.1433,0.1558,0.0271,16.076,0.054,20.1,9.86E-01,15.734,0.137,7.9,9.40E-01,12.539,null,-0.1,9.13E-01,9.104,null,-1.1,9.78E-01,1,0,0,0,0,0,7,500,-718,548,0,0,0nnn,ABUU,111,25,30,3,28,0,13,0,13
342,6.224454,-29.24009,318.69788,38,J211447.23,380005.4,318.6968082,38.0015087,0.0651,0.0764,0.0229,13.87,0.032,33.7,1.76E+00,14.019,0.041,26.6,1.06E+00,12.826,null,-1.5,9.50E-01,9.14,null,-0.8,1.08E+00,2,1,0,0,0,0,null,null,null,null,hhH0,0,nnnn,AAUU,0,34,34,34,34,0,20,0,20
343,3.877267,-132.729324,281.09576,39,J184422.73,385957.3,281.094742,38.9992692,0.0387,0.0352,0.0016,10.667,0.023,47.4,1.10E+00,10.763,0.02,53.9,1.11E+00,10.769,0.092,11.8,8.97E-01,9.184,null,0.3,9.07E-01,1,0,0,0,0,0,7,41,27,37,0,0,000n,AAAU,0,47,47,47,47,17,23,0,23
347,3.586613,1.585681,178.26612,-56,J115303.88,-555956.4,178.2661693,-55.9990041,0.089,0.0923,0.0196,15.273,0.036,30.4,1.26E+00,15.564,0.087,12.5,9.90E-01,12.764,null,0.6,9.08E-01,9.41,null,-0.1,1.01E+00,1,0,0,0,0,0,108,143,-224,152,0h00,0,0nnn,AAUU,0,55,55,15,55,0,32,0,33
347,8.700675,-117.078015,178.26612,-56,J115302.94,-560003.9,178.2622716,-56.0011001,0.1628,0.1688,0.0477,16.245,0.056,19.3,1.52E+00,16.704,0.234,4.6,8.74E-01,12.328,null,1.9,9.71E-01,9.463,null,-0.1,9.61E-01,1,0,0,0,0,0,34,353,76,369,0,0,2nnn,ABUU,0,34,56,0,56,0,32,0,33
352,8.74341,22.398602,95.45858,-51,J062150.41,-505951.9,95.4600505,-50.9977545,0.2379,0.2625,-0.0325,17.346,0.089,12.3,9.11E-01,16.56,0.158,6.9,1.00E+00,12.984,null,0.5,9.36E-01,8.953,null,1.3,1.06E+00,1,0,0.001,0,0,0,133,977,363,1075,0,0,nnnn,ABUU,0,8,68,1,68,1,34,0,34
353,5.363231,-152.049244,106.58722,-43,J070620.70,-430004.7,106.5862652,-43.001316,0.0736,0.0762,-0.0108,15.009,0.031,34.8,1.04E+00,15.048,0.062,17.4,9.41E-01,12.942,null,-0.3,8.80E-01,9.132,null,-0.6,8.76E-01,1,0,0.001,0,0,0,176,169,79,184,0,0,11nn,AAUU,0,45,45,33,45,0,20,0,20
355,6.713553,21.949775,125.72982,-52,J082255.42,-515953.7,125.7309522,-51.9982703,0.1954,0.2073,0.0437,16.538,0.068,16,1.10E+00,17.573,null,0.4,8.66E-01,12.647,0.431,2.5,9.03E-01,9.022,null,0.3,9.04E-01,1,0,0,0,0,0.002,321,720,1400,766,hHH0,0,1nnn,AUCU,11,23,57,0,57,0,25,0,25
356,3.578939,-136.539334,129.45955,-6,J083750.12,-60002.5,129.4588624,-6.0007216,0.2085,0.229,0.0277,16.51,0.079,13.8,1.21E+00,15.837,0.15,7.2,8.24E-01,12.412,null,0.4,8.23E-01,9.088,null,-0.5,1.10E+00,1,0,0,0,0,0,281,798,749,885,0,0,1nnn,ABUU,0,14,24,0,24,0,11,0,11
357,3.915447,84.898438,133.27539,52,J085306.51,520000.3,133.2771496,52.0000967,0.3258,0.3614,0.0317,17.092,0.11,9.9,9.22E-01,17.128,0.447,2.4,8.76E-01,12.306,null,0.5,8.87E-01,9.06,null,-0.4,9.50E-01,1,0,0,0,0,0,-129,1377,-1832,1525,0,0,nnnn,BCUU,11,5,28,0,28,0,13,0,13
360,6.602878,26.939636,316.9855,7,J210756.72,70005.8,316.9863372,7.0016351,0.2554,0.2706,-0.0689,16.786,0.096,11.3,8.51E-01,15.987,0.152,7.2,8.70E-01,11.961,null,1.8,9.54E-01,8.94,null,0.4,1.01E+00,1,0,0,0,0,0,198,1036,-264,1095,h000,0,nnnn,ABUU,1100,7,29,1,29,1,16,0,16
360,9.870293,171.09496,316.9855,7,J210756.62,65950.2,316.9859276,6.9972913,0.3682,0.388,-0.1025,17.138,0.124,8.8,1.08E+00,17.114,0.421,2.6,8.08E-01,12.677,null,-1.4,8.97E-01,8.781,null,0.1,8.27E-01,1,0,0,0,0,0,158,1686,1146,1772,h000,0,nnnn,BCUU,1100,6,29,0,29,0,16,0,16
361,6.104843,-31.201313,324.33796,-18,J213720.88,-175954.7,324.3370363,-17.9985495,0.5358,0.575,-0.1596,17.394,0.175,6.2,9.42E-01,16.777,null,0.7,9.66E-01,11.996,null,0.4,8.13E-01,9.055,null,-0.6,1.04E+00,1,0,0,0,0,0.003,196,2396,1754,2552,0,0,nnnn,BUUU,1100,4,22,0,22,0,11,0,11
361,7.636635,-122.296616,324.33796,-18,J213720.65,-180004,324.3360746,-18.0011334,0.5303,0.5578,-0.152,17.361,0.177,6.1,8.95E-01,17.208,null,-1.7,1.02E+00,12.405,null,-1.1,8.09E-01,8.899,0.491,2.2,9.50E-01,1,0,0,0,0,0.002,-3201,2187,2880,2268,0,0,nnnn,BUUC,1100,4,22,0,22,0,11,0,11
367,8.41569,-10.966917,113.94775,-32,J073547.33,-315951.7,113.9472256,-31.997705,0.0559,0.0565,-0.0097,13.794,0.027,40.8,1.63E+00,13.832,0.034,32.1,9.43E-01,12.799,null,-1.7,1.06E+00,9.178,null,-0.1,1.03E+00,2,1,0,0,0,0,26,84,162,92,0,0,nnnn,AAUU,0,35,35,34,34,0,15,0,15
369,7.851179,-17.503304,195.44552,63,J130146.57,630007.4,195.4440751,63.0020799,0.1993,0.2017,0.0556,16.743,0.067,16.1,9.34E-01,16.986,0.281,3.9,8.07E-01,12.363,null,2,9.18E-01,9.528,null,-0.8,9.40E-01,1,0,0.001,0,0,0,-414,792,222,803,0,0,nnnn,ABUU,0,18,47,2,47,0,26,0,26
370,7.290044,-166.086778,326.34127,-12,J214521.78,-120007,326.3407722,-12.0019656,0.2572,0.2672,-0.0803,16.594,0.088,12.3,9.92E-01,16.24,0.249,4.4,8.88E-01,11.876,null,1.6,9.20E-01,8.478,null,1.2,9.68E-01,1,0,0,0,0,0,-542,1086,-105,1129,0,0,0nnn,ABUU,1100,9,22,1,22,0,11,0,11
370,8.97154,124.404368,326.34127,-12,J214522.40,-120005,326.3433721,-12.0014081,0.334,0.3444,-0.1003,16.858,0.112,9.7,9.81E-01,16.747,0.355,3.1,8.12E-01,12.447,null,-0.1,8.85E-01,8.302,null,1.4,1.03E+00,1,0,0,0,0,0,-878,1464,-102,1507,0,0,nnnn,BBUU,1100,6,22,0,22,1,11,0,11
371,9.403792,-28.342786,217.69195,63,J143045.41,630008.2,217.6892182,63.002299,0.4125,0.4155,0.135,17.712,0.136,8,8.62E-01,17.617,0.432,2.5,9.26E-01,12.91,null,0.3,8.40E-01,9.396,null,-1.5,9.24E-01,1,0,0,0,0,0,-1453,1939,156,1964,0,0,nnnn,BCUU,0,2,54,0,54,0,30,0,30
373,9.963984,58.907938,28.709772,21,J015450.95,210005.1,28.7123108,21.0014293,0.3028,0.3141,-0.0962,17.005,0.099,11,8.59E-01,17.172,0.454,2.4,1.01E+00,12.51,null,0.4,8.73E-01,9.204,null,-0.1,9.19E-01,1,0,0,0,0,0,-524,824,18,855,0,0,nnnn,ACUU,1111,7,34,1,34,0,20,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
