solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
NAN,NAN,NAN,Time[Julian Years],Angle[deg],Angle[mas],Angle[deg],Angle[mas],Angle[mas],Angle[mas],Angular Velocity[mas/year],Angular Velocity[mas/year],Angular Velocity[mas/year],Angular Velocity[mas/year],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],Dimensionless[see description],NAN,NAN,NAN,NAN,NAN,NAN,NAN,Angle[mas],NAN,NAN,NAN,Angle[mas^-2],Angle[mas^-2],NAN,NAN,NAN,NAN,NAN,NAN,NAN,Angle[deg],Angle[deg],Angle[deg],Angle[deg],NAN,Flux[e-/s],Flux[e-/s],Magnitude[mag],Dimensionless[see description],Angle[deg],Angle[deg],Angle[deg],Angle[deg]
1.63538E+18,5.21755E+18,537165182,2015,142.7492382,0.219536744,-74.15311495,0.246984579,9.838572471,0.233075286,-16.70303419,0.047539905,30.61938469,0.0545519,-0.44000894,-0.20672317,0.16811605,-0.08048361,0.37707168,-0.061996188,0.17568159,0.009898427,0.111661755,0.024900427,68,68,68,67,0,1,3.1175869,0.408818264,104.560554,TRUE,4.086532,5.286207,5.29958E-06,3,14,FALSE,0.30771244,0.4011194,0.24737953,0.4192038,-39.058556,49.640324,52.551277,38.059017,116,9262946.798,6517.46456,8.10789714,NOT_AVAILABLE,290.3147397,-16.42726297,226.7437,-71.50678976
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1.63538E+18,4.33101E+18,496586908,2015,249.3745484,0.222352156,-11.86996676,0.141157307,9.367286914,0.267441133,-24.26066331,0.093147265,-26.57122139,0.060320207,-0.25288323,0.11175282,-0.057901334,-0.045241352,-0.19223538,-0.05831415,-0.06909336,0.08457124,-0.015481179,0.010168441,149,149,149,144,0,5,7.1764235,0.627972178,307.9242688,TRUE,2.6161113,2.3969007,1.00447E-05,3,18,FALSE,0.26128912,0.5039562,0.10091086,0.37443578,16.419119,14.797025,23.930382,39.12778,139,9096354.83,15266.29469,8.127601581,NOT_AVAILABLE,5.190953214,22.75122752,249.5025315,10.11370627
1.63538E+18,4.23981E+18,933077816,2015,295.4929694,0.255833799,1.181701732,0.16006523,6.897192895,0.260901527,-56.84275228,0.08430725,-87.37789218,0.0369966,0.68351835,-0.011987335,0.10316724,0.112214774,0.03358212,0.06814724,0.1644994,-0.055124246,0.003329212,0.042455893,195,195,195,188,0,7,2.869805,0.615216687,397.4595088,TRUE,6.045989,2.5246544,1.78382E-05,3,28,FALSE,0.47676015,0.7599822,0.4883871,0.5165527,-36.176815,-27.614218,-27.434471,-32.296345,200,5584970.985,3384.486856,8.657217761,NOT_AVAILABLE,39.83218908,-10.6732195,297.6954911,22.20326884
1.63538E+18,4.13048E+18,598125839,2015,251.947167,0.298655292,-19.87565737,0.218013031,8.9173301,0.291487216,-16.09981272,0.091227193,-27.6691614,0.052644135,0.52896017,-0.3627487,0.08222705,0.09600192,-0.49198186,0.06689032,0.14487436,-0.05642215,-0.0717661,-0.20783813,72,72,72,67,0,5,3.747856,0.60487787,146.1772506,TRUE,5.947188,2.611945,1.76475E-05,3,10,FALSE,0.2749732,0.5615022,0.42435148,0.7655067,-83.1617,-25.02463,-23.466005,-35.11416,84,4511069.021,7468.461395,8.889071384,NOT_AVAILABLE,359.9868195,15.95900799,253.0394464,2.506989232
1.63538E+18,3.86175E+18,672555633,2015,154.8689233,0.184441692,6.58277278,0.137514819,28.23919488,0.320063517,-40.34681204,1.061857271,-48.42457337,0.676017968,-0.4730637,-0.75500137,-0.7068823,0.6144143,0.3357379,0.39989886,-0.4355489,0.8877456,-0.64180815,-0.6503128,54,54,54,52,0,2,NAN,0.293307317,73.71719504,TRUE,3.013509,9.968201,1.99358E-05,5,8,FALSE,0.31994048,0.3551766,0.38036495,0.91411954,-127.115234,51.600002,-4.560392,-27.157455,58,5533105.53,10861.58706,8.66734768,NOT_AVAILABLE,235.5669258,48.50897956,154.3082822,-3.591333552
1.63538E+18,3.75324E+18,5478800,2015,155.201386,0.234955205,-13.72115856,0.153614143,15.27240195,0.379304055,-182.1441128,1.304448585,25.28416032,0.664038453,-0.43228397,-0.75223064,-0.7846229,0.4751377,0.35748774,0.39801064,-0.40434194,0.89901495,-0.48418766,-0.5395283,52,52,51,52,1,0,NAN,0.38736778,112.5128223,TRUE,3.8852868,5.985084,2.31317E-05,5,8,FALSE,0.28310513,0.2887075,0.24456628,0.74874777,-133.69957,42.576336,-15.386061,-30.989643,61,2842647.654,2184.079873,9.390462483,NOT_AVAILABLE,256.3590338,35.19155968,162.4155435,-22.31523421
1.63538E+18,2.32828E+18,1024623667,2015,357.3310051,0.22349535,-27.85447023,0.217892111,28.49566787,0.268618644,-74.82719122,0.050892559,-51.17930941,0.047118407,0.1959909,-0.10105086,0.16669758,0.026196336,-0.023170497,0.020422202,0.16576585,-0.073609576,-0.04569234,0.2911063,77,77,77,75,0,2,0.58990115,0.59750062,87.56340858,TRUE,5.8767176,2.7393713,1.27705E-05,3,9,FALSE,0.14506349,0.24135911,0.05429776,0.8117492,-64.70342,-50.230053,-52.232983,13.571608,74,30848096.79,33113.00835,6.801699127,NOT_AVAILABLE,26.33104411,-76.21505232,345.7910375,-24.34915648
1.63538E+18,2.10407E+18,7285436,2015,285.1331737,0.196412367,41.68427638,0.230216196,11.56209934,0.251197163,17.10523235,0.038748561,7.11786021,0.048586568,0.024762051,-0.0690293,0.21072626,-0.001001078,0.44038823,-0.009029091,0.1848211,-0.03786886,0.08373636,-0.014576542,95,95,95,90,0,5,3.216601,0.58182849,180.4434852,TRUE,2.452906,2.788548,6.80537E-06,3,16,FALSE,0.5400444,0.09086414,0.22240938,0.27738443,-101.436134,-66.938644,16.949278,-17.445826,119,14764929.02,7202.340932,7.601691655,NOT_AVAILABLE,71.98231433,16.07358472,296.1614154,63.75549967
1.63538E+18,2.19021E+18,203292955,2015,312.7087856,0.135815959,57.47216334,0.195239701,3.477466085,0.249819237,11.04933347,1.132215361,-104.7965913,0.667122875,0.6859734,0.66584146,-0.74129534,-0.77003455,0.77281874,-0.84428537,-0.52439034,-0.91449285,-0.5721253,0.7692298,159,159,158,156,1,3,NAN,0.250989928,116.0211555,TRUE,2.6301305,13.084877,2.55859E-05,5,20,TRUE,0.322975,0.55951715,0.61683565,0.694532,162.31453,-55.251442,10.12069,43.540073,161,1576099.854,1652.048216,10.03081074,NOT_AVAILABLE,94.8037351,8.410664288,355.7453645,68.54801944
