HD 10700
HD 22049
HD 197481
HD 39060
HD 14082B
HIP 11437
HD 29391
HD 35850
2MASS J10423011-3340162
HD 38678
HD 141569
GJ 14
HD 1404
HD 2262
HD 3196
HD 4747
GJ 54
HD 7570
HD 11171
HD 13161
HD 14055
HD 20320
HD 20794
HD 22484
HD 23281
HD 23754
HD 27290
HD 32450
HD 39091
GJ 285
HD 71243
HD 76932
HD 87696
HD 88955
HD 110411
HD 111631
HD 115617
HD 115892
HD 124580
HD 125162
HD 129502
HD 133640
HD 139006
HD 156164
HD 160032
HD 172555
HD 180161
HD 179930
HD 184006
HD 188228
HD 204961
HD 213398
HD 213845
HD 215789
HD 218511
HD 219571
HD 222368
HD 223352
GJ 4063
2MASS J22480446-2422075
HD 166
HD 17925
HD 30495
HD 110897
HD 131511
HD 219482
HD 71155
HD 95418
HD 102647
HD 109085
HD 128167
HD 33262
HD 5133
HD 9826
HD 19994
HD 23356
HD 23484
HD 40307
HD 40136
HD 48682
HD 50692
HD 72905
HD 76151
HD 90839
HD 102438
HD 115953
HD 117176
HD 128165
HD 132254
HD 158633
HD 199260
HD 206860
HD 207129
HD 217357
HD 20807
HD 10647
HD 1100
HD 131496
HD 142091
HD 208585
HD 210702
HD 128311
HD 192263
GJ 581
HD 218396
HD 15407
HD 121191
HD 131488
HD 23514
HD 15745
HD 16743
HD 106906
HD 110058
HD 114082
HD 115600
HD 191089
HD 221853
HD 121617
HD 192758
HD 3670
HD 38206
HD 219025
2MASS J00291859+0952308
2MASS J01174349-5233307
2MASS J10230988+6136434
2MASS J12295501-3549286
2MASS J12354033-6539414
2MASS J13221772+6233380
2MASS J13343740-5853322
2MASS J18030677-3951538
2MASS J19310123+0523533
2MASS J20111681+3730522
2MASS J22080571+4802097
2MASS J23222469-0213414
CD-30 11814
HD 233517
TYC 4004-1409-1
TYC 6312-824-1
TYC 6687-100-1
HD 100764
HD 7112
HD 8686
HD 21086
HD 23208
HD 23380
HD 23586
HD 24636
HD 24649
HD 26736
HD 28069
HD 28287
HD 282477
HD 35289
HD 35416
HD 37546
HD 37852
HD 37487
HD 38397
HD 38273
HD 59659
HD 83033
HD 88463
HD 94131
HD 102458
HD 107649
HD 111347
HD 111520
HD 115371
HD 117620
HD 119152
HD 120178
HD 120362
HD 121189
HD 133803
HD 137949
HD 139731
HD 140614
HD 145504
HD 146621
HD 149807
HD 151376
HD 151360
HD 159502
HD 160305
HD 176894
HD 179520
HD 183970
HD 186025
HD 189002
HD 198093
HD 223408
2MASS J08414620+1158296
2MASS J10204853-1343164
2MASS J17295506-5415487
2MASS J20505008+5728212
2MASS J23544017-6051340
HD 124520
HD 278932
HD 48780
HD 77056
HD 89452
HD 1461
HD 5388
HD 8907
HD 38529
HD 38858
HD 40979
HD 53143
HD 72659
HD 82943
HD 106252
HD 139664
HD 169830
HD 187085
HD 187897
HD 216435
HD 11413
HD 221756
HD 198160
HD 31295
HD 92945
HD 113766
HD 145263
HD 169666
2MASS J08101691-4856291
TYC 5241-986-1
HD 10939
HD 17848
HD 50571
HD 95086
HD 161868
HD 170773
HD 182681
HD 195627
HD 9672
HD 33636
HD 105211
HD 50554
HD 52265
HD 202206
HD 100546
HD 131835
HD 21997
HD 5578
HD 25402
2MASS J04524951-1955016
2MASS J05510116-5238126
BD-19 1062
HD 272836
HD 48370
HD 51797
HD 105
HD 1466
HD 3003
HD 12039
HD 30051
HD 32297
HD 109573
HD 181296
HD 202917
HD 164249
HD 181327
2MASS J19560438-3207376
2MASS J22424896-7142211
HD 35650
HD 43989
HD 76543
HD 76582
HD 84870
HD 85672
HD 99945
HD 203562
HD 216956
HD 172167
HD 21641
2MASS J03281868+4839482
HD 35656
HD 37004
HD 38805
HD 44200
HD 51296
HD 57969
HD 59507
HD 66552
HD 71988
HD 74389
HD 105857
HD 166636
HD 174474
HD 179933
HD 184327
HD 201377
HD 201906
HD 224309
HD 37306
HD 192544
HD 13246
HD 19668
HD 23267
HD 23642
HD 24141
HD 24817
HD 37286
HD 60737
HD 72687
HD 74873
HD 80950
HD 90905
HD 92536
HD 118972
HD 125283
HD 126135
HD 132238
HD 145964
HD 159170
HD 220825
HD 30422
HD 183324
HD 28355
HD 38056
HD 70313
HD 71722
HD 79108
HD 85301
HD 98673
HD 104860
HD 136246
HD 136482
HD 138965
HD 141378
HD 145229
HD 153053
HD 183216
HD 191174
HD 192425
HD 196544
HD 215766
HD 159492
GJ 433
GJ 649
HD 81809
HD 95698
HD 202444
HD 173608
HD 36546
HD 132658
HD 198472
2MASS J11530385-5606045
HD 6798
HD 12467
HD 31392
HD 40540
HD 44958
HD 54341
HD 57703
HD 71043
HD 73350
HD 75616
GJ 9298
HD 165459
HD 201219
HD 205674
HD 218340
HD 120534
HD 107146
HD 202628
HD 15115
HD 61005
HD 45184
HD 113337
HD 206893
HD 127821
HD 37594
HIP 8920
HIP 6276
HIP 84914
