Wavelength(Microns),Refractive Index,Extinction Coefficient,
0.81909,1.6737,0.0306733829787j,
0.83176,1.67360041667,0.0306999166667j,
0.84463,1.67356670103,0.0307266597938j,
0.8577,1.6735,0.0307533333333j,
0.87096,1.6735,0.03077992j,
0.88444,1.6734,0.0308033398058j,
0.89812,1.6734,0.0308232427184j,
0.91201,1.6734,0.0308500188679j,
0.92612,1.6734,0.0308765794393j,
0.94045,1.6734,0.0309032407407j,
0.95499,1.6734,0.0309199908257j,
0.96977,1.67343306306,0.0309466126126j,
0.98477,1.6735,0.0309732807018j,
1.0,1.6735,0.031j,
1.0155,1.6735,0.0310263636364j,
1.0312,1.6735,0.0310605j,
1.0471,1.6735,0.0310901666667j,
1.0633,1.6735,0.0311166153846j,
1.0798,1.6735,0.0311495j,
1.0965,1.6735,0.0311811538462j,
1.1134,1.6735,0.0312167692308j,
1.1307,1.6735,0.0312433846154j,
1.1481,1.6734,0.0312801538462j,
1.1659,1.6734,0.0313105j,
1.1839,1.67333642857,0.0313427142857j,
1.2023,1.67329785714,0.0313806428571j,
1.2209,1.6732,0.031417j,
1.2398,1.67313466667,0.0314496j,
1.2589,1.6731,0.0314997142857j,
1.2784,1.6731,0.0315525714286j,
1.2982,1.6731,0.031614j,
1.3183,1.673098125,0.0316909375j,
1.3386,1.673,0.0317553333333j,
1.3594,1.672935,0.031829j,
1.3804,1.6729,0.03190125j,
1.4017,1.6729,0.0319667647059j,
1.4234,1.672835,0.0320325j,
1.4454,1.6728,0.0321011764706j,
1.4678,1.67276588235,0.0321704705882j,
1.4905,1.6727,0.0322438235294j,
1.5136,1.67260222222,0.0323186666667j,
1.537,1.67256666667,0.03239j,
1.5608,1.6725,0.0324627777778j,
1.5849,1.67240055556,0.0325197777778j,
1.6094,1.6724,0.0325868421053j,
1.6343,1.67233526316,0.0326523684211j,
1.6596,1.6723,0.0327287368421j,
1.6853,1.67216684211,0.0327998947368j,
1.7113,1.6720335,0.0328799j,
1.7378,1.671901,0.0329594j,
1.7647,1.6717665,0.03305345j,
1.792,1.67156666667,0.0331466666667j,
1.8197,1.67140142857,0.0332488571429j,
1.8478,1.67116761905,0.0333559047619j,
1.8764,1.67096909091,0.0334689090909j,
1.9055,1.67069565217,0.0335819565217j,
1.9349,1.67046863636,0.0336982272727j,
1.9649,1.67026454545,0.0338209545455j,
1.9953,1.6699973913,0.033941173913j,
2.0261,1.6697325,0.034060375j,
2.0575,1.66946521739,0.0341873913043j,
2.0893,1.6691975,0.034311125j,
2.1216,1.6689312,0.03443096j,
2.1544,1.6686688,0.0345556j,
2.1878,1.6684016,0.0346892j,
2.2216,1.66813384615,0.0348330769231j,
2.256,1.66780384615,0.0349719230769j,
2.2909,1.66740115385,0.0351195769231j,
2.3263,1.66699666667,0.0352678888889j,
2.3623,1.66659666667,0.0354145555556j,
2.3988,1.66610285714,0.0355592142857j,
2.4359,1.66567285714,0.0357049642857j,
2.4736,1.66520071429,0.0358530714286j,
2.5119,1.66470137931,0.0360095862069j,
2.5507,1.6642662069,0.0361734827586j,
2.5902,1.66373066667,0.0363408j,
2.6303,1.66309612903,0.0365113548387j,
2.671,1.66253870968,0.0366919354839j,
2.7123,1.66187258065,0.0368716774194j,
2.7542,1.661196875,0.0370608125j,
2.7968,1.6604975,0.037240625j,
2.8401,1.65976515152,0.0374337575758j,
2.884,1.659,0.03762j,
2.9286,1.65819529412,0.0378211764706j,
2.9739,1.65739588235,0.0380210294118j,
3.0199,1.65660171429,0.0382295428571j,
3.0667,1.65569942857,0.0384334857143j,
3.1141,1.65483138889,0.0386605j,
3.1623,1.65389432432,0.0389116216216j,
3.2112,1.65296918919,0.0391792432432j,
3.2609,1.65202891892,0.0394545945946j,
3.3113,1.65099384615,0.0397013076923j,
3.3625,1.64993684211,0.0399259210526j,
3.4146,1.648868,0.04013975j,
3.4674,1.64779121951,0.0403414634146j,
3.521,1.6466075,0.04053875j,
3.5755,1.64539634146,0.0407406097561j,
3.6308,1.6441047619,0.0409392857143j,
3.6869,1.64266904762,0.0411296428571j,
3.744,1.64119069767,0.0413311627907j,
3.8019,1.63960272727,0.0415296590909j,
3.8607,1.63799909091,0.0417234545455j,
3.9204,1.63634086957,0.0419291304348j,
3.9811,1.63449695652,0.042140326087j,
4.0427,1.63263234043,0.042340106383j,
4.1052,1.63070425532,0.0425329361702j,
4.1687,1.628709375,0.0427091875j,
4.2332,1.62653795918,0.0428563673469j,
4.2987,1.6242655102,0.0430100816327j,
4.3652,1.62179294118,0.0431704313725j,
4.4327,1.61934509804,0.0433225686275j,
4.5012,1.61661884615,0.0435020769231j,
4.5709,1.61370423077,0.0436997115385j,
4.6416,1.61073622642,0.0439131320755j,
4.7134,1.60761163636,0.0441258909091j,
4.7863,1.60428607143,0.0443610714286j,
4.8603,1.60081767857,0.0446253571429j,
4.9355,1.59715789474,0.0449047368421j,
5.0119,1.59340491228,0.0451996140351j,
5.0894,1.58924779661,0.045538779661j,
5.1681,1.58491305085,0.0459121864407j,
5.2481,1.58039409836,0.046330557377j,
5.3293,1.57556868852,0.0467931311475j,
5.4117,1.5705847619,0.0472981428571j,
5.4954,1.565374375,0.04784275j,
5.5804,1.5598621875,0.04843715625j,
5.6667,1.55415287879,0.0490810606061j,
5.7544,1.54807134328,0.0497933432836j,
5.8434,1.54162835821,0.0505439104478j,
5.9338,1.53478202899,0.0513415362319j,
6.0256,1.52763130435,0.0521763478261j,
6.1188,1.51982225352,0.0530545915493j,
6.2135,1.51175211268,0.0539080985915j,
6.3096,1.50323561644,0.0546569863014j,
6.4072,1.49404540541,0.0553006216216j,
6.5063,1.48407013514,0.0558498243243j,
6.6069,1.47331078947,0.0563195526316j,
6.7091,1.46108769231,0.0566936153846j,
6.8129,1.44778,0.0569797307692j,
6.9183,1.43285275,0.057281125j,
7.0253,1.41564888889,0.0577653703704j,
7.134,1.39617073171,0.0585995121951j,
7.2444,1.37360714286,0.0605315238095j,
7.3564,1.34684941176,0.0642831529412j,
7.4702,1.31637023256,0.0711369302326j,
7.5858,1.28255954023,0.0824687356322j,
7.7031,1.24614170455,0.101201909091j,
7.8223,1.207569,0.127039j,
7.9433,1.17021945652,0.160702391304j,
8.0662,1.13892387097,0.20424516129j,
8.1909,1.11479287234,0.255868191489j,
8.3176,1.09907320833,0.31032875j,
8.4463,1.09312165979,0.35882185567j,
8.577,1.0848,0.403233333333j,
8.7096,1.07203104,0.451152j,
8.8444,1.06010943689,0.511465825243j,
8.9812,1.05683497087,0.581780970874j,
9.1201,1.06775991509,0.659454811321j,
9.2612,1.09896588785,0.735297383178j,
9.4045,1.14495601852,0.802980555556j,
9.5499,1.20096045872,0.857864311927j,
9.6976,1.25948162162,0.894921081081j,
9.8477,1.31273412281,0.922216666667j,
10.0,1.3598,0.9466j,
10.155,1.40418636364,0.974940909091j,
10.312,1.45838833333,1.00743166667j,
10.471,1.52435416667,1.03205j,
10.633,1.59523615385,1.03667692308j,
10.798,1.657315,1.02815j,
10.965,1.71263846154,1.01565384615j,
11.134,1.76129230769,1.00297230769j,
11.307,1.80898769231,0.984994615385j,
11.481,1.85142923077,0.96339j,
11.659,1.891955,0.943495j,
11.84,1.93306428571,0.919592857143j,
12.023,1.97350142857,0.88534j,
12.209,2.00256,0.845155j,
12.398,2.02510666667,0.808010666667j,
12.589,2.04589285714,0.767917857143j,
12.784,2.05757142857,0.722705714286j,
12.982,2.06168,0.675652j,
13.183,2.0578875,0.632098125j,
13.387,2.04855333333,0.590698666667j,
13.594,2.0293,0.548655j,
13.804,1.9983575,0.509475j,
14.017,1.95836882353,0.484238823529j,
14.234,1.914985,0.470575j,
14.454,1.87051058824,0.468527058824j,
14.678,1.83282470588,0.477177647059j,
14.905,1.79987647059,0.491479411765j,
15.136,1.77206444444,0.507813333333j,
15.37,1.7451,0.528433333333j,
15.608,1.72247666667,0.551693333333j,
15.849,1.70277944444,0.578088333333j,
16.094,1.68535894737,0.607112631579j,
16.343,1.67157947368,0.637960526316j,
16.596,1.66174105263,0.672150526316j,
16.853,1.65580578947,0.708286842105j,
17.113,1.6528685,0.7440215j,
17.378,1.654282,0.781909j,
17.647,1.660911,0.8214485j,
17.92,1.6711,0.859333333333j,
18.197,1.68504,0.895608571429j,
18.479,1.70558428571,0.933302857143j,
18.764,1.72983272727,0.968390909091j,
19.055,1.75748478261,0.999630434783j,
19.349,1.78704681818,1.02464545455j,
19.649,1.82201545455,1.04783636364j,
19.953,1.85903521739,1.06710434783j,
20.261,1.8920275,1.07635j,
20.575,1.92027608696,1.0837173913j,
20.893,1.947665,1.0930875j,
21.216,1.9756176,1.101376j,
21.544,2.000808,1.10728j,
21.878,2.024856,1.11396j,
22.216,2.05227692308,1.12099230769j,
22.56,2.08007692308,1.12365384615j,
22.909,2.10393461538,1.124j,
23.263,2.12551111111,1.12703333333j,
23.623,2.1482,1.13035555556j,
23.988,2.17087857143,1.13199285714j,
24.359,2.19172142857,1.13395357143j,
24.736,2.21595714286,1.13799285714j,
25.119,2.23894137931,1.13999655172j,
25.507,2.26035172414,1.13766551724j,
25.902,2.2811,1.13632666667j,
26.303,2.30215483871,1.13498064516j,
26.71,2.32283870968,1.13267741935j,
27.123,2.34282258065,1.13069032258j,
27.542,2.36409375,1.12899375j,
27.968,2.3840625,1.1276625j,
28.401,2.40404545455,1.12633030303j,
28.84,2.424,1.125j,
29.286,2.44377647059,1.12331764706j,
29.74,2.46314705882,1.12132352941j,
30.199,2.48196,1.11800857143j,
30.667,2.50168,1.11466285714j,
31.141,2.52037222222,1.10999166667j,
31.623,2.53910540541,1.10597567568j,
32.112,2.55628648649,1.10168108108j,
32.609,2.57374864865,1.09698108108j,
33.113,2.5911,1.09196923077j,
33.625,2.60761842105,1.08701315789j,
34.146,2.62298,1.08234j,
34.674,2.63810731707,1.07697073171j,
35.21,2.6529,1.0727j,
35.755,2.66837804878,1.06798780488j,
36.308,2.68195238095,1.06301904762j,
36.869,2.69664047619,1.05800714286j,
37.44,2.71074418605,1.05330232558j,
38.019,2.72597272727,1.04800909091j,
38.607,2.74300909091,1.04366363636j,
39.204,2.75893043478,1.0390173913j,
39.811,2.77602608696,1.03399130435j,
40.427,2.79200851064,1.02899787234j,
41.052,2.80862978723,1.02434468085j,
41.687,2.824925,1.01803125j,
42.332,2.84063673469,1.01134693878j,
42.987,2.85600816327,1.00466326531j,
43.652,2.87104313725,0.997377647059j,
